"session_id","visit_date","country","device_type","traffic_source","product_category_viewed","pages_viewed","time_on_site_minutes","added_to_cart","purchased","order_value_usd","cart_to_view_ratio","satisfaction_score","predicted_session_value","customer_segment","user_id","ab_group"
"1","2023-04-13","0","1","2","1","6","1.98","0","0","0.0","0.0","0.7901037509976059","28.98486700026337","0","2126","Control"
"2","2023-11-05","4","1","3","3","5","5.01","0","0","0.0","0.0","1.9992019154030327","24.154055833552807","0","2459","Variant"
"3","2024-07-14","0","1","0","1","5","6.44","0","1","34.35","0.0","7.569832402234637","24.154055833552807","1","1860","Variant"
"4","2024-04-29","1","1","4","0","4","4.8","1","0","0.0","0.2","1.9154030327214688","19.32324466684225","0","2294","Control"
"5","2024-03-30","3","1","2","3","5","5.42","1","0","0.0","0.1666666666666666","2.162809257781325","24.154055833552807","0","2130","Variant"
"6","2024-07-19","5","2","4","2","9","3.98","0","1","13.78","0.0","6.588188347964884","43.47730050039505","1","2095","Variant"
"7","2023-07-07","1","1","0","1","4","7.16","1","1","123.82","0.2","7.857142857142858","19.32324466684225","1","2724","Control"
"8","2023-08-19","0","2","1","3","7","7.9","0","0","0.0","0.0","3.1524341580207507","33.81567816697393","2","2044","Variant"
"9","2024-09-04","2","2","5","2","6","9.45","1","0","0.0","0.1428571428571428","3.7709497206703912","28.98486700026337","2","2638","Control"
"10","2024-04-05","5","2","1","4","6","7.75","0","1","268.26","0.0","8.092577813248205","28.98486700026337","1","1121","Control"
"11","2023-08-31","4","1","3","4","9","4.6","0","0","0.0","0.0","1.8355945730247405","43.47730050039505","0","1466","Variant"
"12","2024-09-19","3","1","1","2","5","5.34","1","0","0.0","0.1666666666666666","2.130885873902634","24.154055833552807","0","2238","Control"
"13","2024-10-25","4","0","4","4","9","3.85","0","0","0.0","0.0","1.5363128491620113","43.47730050039505","0","1330","Variant"
"14","2024-10-03","3","2","1","5","3","4.01","1","1","2.98","0.25","6.6001596169193935","14.492433500131686","0","2482","Variant"
"15","2023-09-04","3","0","2","5","9","8.96","1","0","0.0","0.1","3.5754189944134085","43.47730050039505","2","1087","Control"
"16","2023-11-22","4","2","4","4","8","5.71","0","1","103.87","0.0","7.27853152434158","38.64648933368449","1","2396","Variant"
"17","2024-04-17","1","1","0","2","5","6.03","0","1","88.14","0.0","7.406225059856345","24.154055833552807","1","2123","Variant"
