session_id,visit_date,country,device_type,traffic_source,product_category_viewed,pages_viewed,time_on_site_minutes,added_to_cart,purchased,order_value_usd,cart_to_view_ratio,satisfaction_score,predicted_session_value,customer_segment
1,2023-04-13,0,1,2,1,6,1.98,0,0,0.0,0.0,0.7901037509976059,28.98486700026337,0
2,2023-11-05,4,1,3,3,5,5.01,0,0,0.0,0.0,1.9992019154030327,24.154055833552807,0
3,2024-07-14,0,1,0,1,5,6.44,0,1,34.35,0.0,7.569832402234637,24.154055833552807,1
4,2024-04-29,1,1,4,0,4,4.8,1,0,0.0,0.2,1.9154030327214686,19.323244666842246,0
5,2024-03-30,3,1,2,3,5,5.42,1,0,0.0,0.16666666666666666,2.162809257781325,24.154055833552807,0
6,2024-07-19,5,2,4,2,9,3.98,0,1,13.78,0.0,6.588188347964884,43.47730050039505,1
7,2023-07-07,1,1,0,1,4,7.16,1,1,123.82,0.2,7.857142857142858,19.323244666842246,1
8,2023-08-19,0,2,1,3,7,7.9,0,0,0.0,0.0,3.1524341580207507,33.81567816697393,2
9,2024-09-04,2,2,5,2,6,9.45,1,0,0.0,0.14285714285714285,3.7709497206703912,28.98486700026337,2
10,2024-04-05,5,2,1,4,6,7.75,0,1,268.26,0.0,8.092577813248205,28.98486700026337,1
11,2023-08-31,4,1,3,4,9,4.6,0,0,0.0,0.0,1.8355945730247405,43.47730050039505,0
12,2024-09-19,3,1,1,2,5,5.34,1,0,0.0,0.16666666666666666,2.130885873902634,24.154055833552807,0
13,2024-10-25,4,0,4,4,9,3.85,0,0,0.0,0.0,1.5363128491620113,43.47730050039505,0
14,2024-10-03,3,2,1,5,3,4.01,1,1,2.98,0.25,6.6001596169193935,14.492433500131686,0
15,2023-09-04,3,0,2,5,9,8.96,1,0,0.0,0.1,3.5754189944134085,43.47730050039505,2
16,2023-11-22,4,2,4,4,8,5.71,0,1,103.87,0.0,7.27853152434158,38.64648933368449,1
17,2024-04-17,1,1,0,2,5,6.03,0,1,88.14,0.0,7.406225059856345,24.154055833552807,1
18,2024-03-28,3,2,3,4,10,6.59,0,0,0.0,0.0,2.629688747007183,48.308111667105614,2
19,2023-12-04,3,1,2,0,5,4.57,0,0,0.0,0.0,1.8236233040702317,24.154055833552807,0
20,2024-05-18,4,0,0,4,7,7.76,1,1,55.04,0.125,8.096568236233042,33.81567816697393,1
21,2023-10-11,5,0,5,3,7,5.98,0,1,77.0,0.0,7.386272944932163,33.81567816697393,1
22,2023-02-06,0,0,0,1,10,7.42,1,1,71.56,0.09090909090909091,7.960893854748603,48.308111667105614,1
23,2023-10-15,0,1,4,1,5,6.9,0,0,0.0,0.0,2.753391859537111,24.154055833552807,2
24,2024-02-12,5,2,0,3,11,9.56,1,0,0.0,0.08333333333333333,3.814844373503592,53.138922833816174,2
25,2024-10-26,5,0,1,4,6,6.71,0,1,9.08,0.0,7.677573822825219,28.98486700026337,1
26,2024-09-11,0,2,4,3,3,10.78,1,1,7.24,0.25,9.30167597765363,14.492433500131686,1
27,2024-08-26,0,0,2,3,4,6.37,0,0,0.0,0.0,2.5418994413407825,19.323244666842246,2
28,2024-10-02,3,0,1,4,4,7.89,0,1,155.78,0.0,8.148443735035915,19.323244666842246,1
29,2024-03-22,3,1,4,1,5,5.32,0,0,0.0,0.0,2.122905027932961,24.154055833552807,0
30,2023-04-04,4,1,0,0,6,4.37,0,0,0.0,0.0,1.7438148443735038,28.98486700026337,0
31,2023-01-23,2,2,1,3,5,6.0,0,0,0.0,0.0,2.3942537909018355,24.154055833552807,2
32,2023-01-16,4,1,3,1,3,7.51,1,1,8.85,0.25,7.996807661612131,14.492433500131686,1
33,2024-11-21,1,2,5,1,7,8.56,0,0,0.0,0.0,3.4158020750199523,33.81567816697393,2
34,2023-02-04,1,0,4,0,6,9.9,0,1,64.62,0.0,8.950518754988028,28.98486700026337,1
35,2024-12-29,4,1,3,5,8,4.66,1,1,146.47,0.1111111111111111,6.8595371109337595,38.64648933368449,1
36,2024-06-08,2,1,2,2,7,6.78,1,0,0.0,0.125,2.7055067837190743,33.81567816697393,2
37,2024-05-20,5,2,3,1,9,5.75,0,0,0.0,0.0,2.2944932162809257,43.47730050039505,0
